Athlete,2019 Heats,2019 Semi,2019 Final,2022 Heats,2022 Semi,2022 Final
Akani SIMBINE,0.136,0.132,0.117,0.128,0.108,0.129
Aaron BROWN,0.155,0.161,0.155,0.141,0.138,0.155
Andre DE GRASSE,0.138,0.197,0.14,0.128,0.146,
Edward OSEI-NKETIA,0.132,,,0.127,0.142,
Rohan BROWNING,0.124,,,0.109,,
Zharnel HUGHES,0.138,0.113,0.119,0.134,0.121,
Raymond EKEVWO,0.162,0.24,,0.116,0.128,
Emmanuel MATADI,0.137,0.175,,0.143,0.135,
Cejhae GREENE,0.158,,,0.135,,
Joseph Paul AMOAH,0.14,,,0.141,,
Ebrahima CAMARA,0.142,,,0.14,,
Yohan BLAKE,0.166,0.171,0.142,0.113,0.141,
Arthur CISSÉ,0.13,0.175,,0.141,0.129,
Bingtian SU,0.129,0.189,,0.134,0.133,
Christian COLEMAN,0.148,0.157,0.128,0.122,0.118,0.104
Lamont Marcell JACOBS,0.154,0.18,,0.11,,
Abdul Hakim SANI BROWN,0.175,0.206,,0.112,0.124,0.147
Rodrigo DO NASCIMENTO,0.142,,,0.124,0.122,
Lalu Muhammad ZOHRI,0.193,,,0.116,,
