Athlete,Country,2022 Nat Heats,2022 Semis,2022 Nat Finals,2022 World Heats,2022 World Semi,2022 World Finals,Data Source
Joshua Zeller,Great Britain,,0.166,0.185,0.126,0.124,0.145,Results: British Athletics Championships 2022 | Watch Athletics
David King,Great Britain,,0.177,0.171,0.117,0.12,,Results: British Athletics Championships 2022 | Watch Athletics
Andrew Pozzi,Great Britain,,0.163,0.168,0.12,0.141,,Results: British Athletics Championships 2022 | Watch Athletics
Damian Czykier,Poland,,,0.167,0.146,0.135,0.14,M110_3_r (domtel-sport.pl)
Devon Allen,USA,0.201,0.153,0.16,0.123,0.101,0.099,USATF Outdoor Championships (flashresults.com)
Trey Cunningham,USA,0.186,0.185,0.182,0.115,0.12,0.109,USATF Outdoor Championships (flashresults.com)
Grant Holloway,USA,0.192,0.19,,0.147,0.128,0.124,USATF Outdoor Championships (flashresults.com)
Daniel Roberts,USA,0.181,0.2,0.183,0.179,,,USATF Outdoor Championships (flashresults.com)
Sasha Zhoya,France,,0.181,0.164,0.132,0.154,,Le Direct | Fédération Française d'Athlétisme (athle.fr)
Just Kwaou-Mathey,France,,,0.192,0.15,0.148,,Le Direct | Fédération Française d'Athlétisme (athle.fr)
